UDP Prague receiver listening at 0.0.0.0 on port 5005 with max packet size 1400 bytes.
[RECVER]: 20.26 sec, Rcvd: 0.829 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 20.46 sec, Rcvd: 0.804 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 20.70 sec, Rcvd: 0.682 Mbps, Sent: 0.013 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 20.92 sec, Rcvd: 0.741 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/16), Lost: 0.00%(0/16)
[RECVER]: 21.13 sec, Rcvd: 0.914 Mbps, Sent: 0.017 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 21.33 sec, Rcvd: 0.830 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 21.53 sec, Rcvd: 0.792 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 21.74 sec, Rcvd: 0.788 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 21.96 sec, Rcvd: 0.819 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 22.17 sec, Rcvd: 0.802 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 22.38 sec, Rcvd: 0.745 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 22.59 sec, Rcvd: 0.879 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 22.80 sec, Rcvd: 0.833 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 23.03 sec, Rcvd: 0.737 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 23.24 sec, Rcvd: 0.766 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 23.44 sec, Rcvd: 0.827 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 23.65 sec, Rcvd: 0.355 Mbps, Sent: 0.007 Mbps, RTT: N/A, Mark: 0.00%(0/6), Lost: 0.00%(0/6)
[RECVER]: 23.87 sec, Rcvd: 0.909 Mbps, Sent: 0.017 Mbps, RTT: N/A, Mark: 0.00%(0/27), Lost: 0.00%(0/27)
[RECVER]: 24.08 sec, Rcvd: 0.806 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 24.29 sec, Rcvd: 0.793 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 24.49 sec, Rcvd: 0.822 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 24.70 sec, Rcvd: 0.814 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 24.91 sec, Rcvd: 0.798 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 25.14 sec, Rcvd: 0.756 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 25.35 sec, Rcvd: 0.861 Mbps, Sent: 0.016 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
[RECVER]: 25.56 sec, Rcvd: 0.809 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/14), Lost: 0.00%(0/14)
[RECVER]: 25.76 sec, Rcvd: 0.808 Mbps, Sent: 0.015 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 25.96 sec, Rcvd: 0.916 Mbps, Sent: 0.017 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 26.17 sec, Rcvd: 0.761 Mbps, Sent: 0.014 Mbps, RTT: N/A, Mark: 0.00%(0/13), Lost: 0.00%(0/13)
[RECVER]: 26.37 sec, Rcvd: 0.945 Mbps, Sent: 0.018 Mbps, RTT: N/A, Mark: 0.00%(0/15), Lost: 0.00%(0/15)
